GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ContaMagica,com.contamagica,INVALID_OPER_EXCEPTION,16,0,0,0,4,0,2,0,2,0
ContaMagica,com.contamagica,ContaMagica,131,0,26,0,35,0,22,0,7,0
